Site,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,period,ssp
Chilliwack_L,9.899999619,9.600000381,30.89999962,724.5,28.70000076,-2.400000095,31.10000038,1.299999952,21.10000038,19.10000038,1.299999952,1578,288,36,58.40000153,711,147,147,565,2041-2060,26
Chilliwack_L,11.39999962,9.699999809,29.70000076,778.7999878,31.89999962,-0.899999976,32.79999924,2.900000095,22.20000076,21.5,2.5,1560,284,33,59.70000076,707,134,139,556,2041-2060,85
Chilliwack_L,6.020833492,9.241666794,33.60606003,647.0894775,22,-5.5,27.5,-1.083333373,13.88333321,14.0666666,-1.700000048,1493,244,49,52.91751099,656,170,174,555,1970-2000,NA
Chutine_L,6.099999905,7.800000191,24.70000076,870.7999878,23.10000038,-8.399999619,31.5,7.300000191,9.899999619,17.10000038,-4.599999905,1549,254,68,41.09999847,603,242,293,403,2041-2060,26
Chutine_L,7.5,7.699999809,24.89999962,874,25.20000076,-5.800000191,31,8.199999809,11,18.89999962,-2.900000095,1602,268,75,41.59999847,630,260,299,407,2041-2060,85
Chutine_L,2.458333254,8.016666412,26.45764542,834.3446655,18.79999924,-11.5,30.29999924,2.700000048,7.133333683,12.64999962,-7.900000095,1409,213,66,38.26485443,523,212,261,393,1970-2000,NA
Copper_Cr_HG,10.89999962,5.5,31.20000076,444.5,20.79999924,3.299999952,17.5,8.199999809,16.89999962,16.89999962,6.199999809,2077,306,57,52.40000153,879,209,273,710,2041-2060,26
Copper_Cr_HG,11.89999962,5.400000095,31,453.7999878,22.10000038,4.599999905,17.5,8.899999619,18,18.10000038,7.199999809,2116,325,53,53.59999847,908,199,267,708,2041-2060,85
Copper_Cr_HG,7.929166794,5.625,33.68263626,419.0164795,17.29999924,0.600000024,16.69999886,5.883333206,13.10000038,13.46666622,3.383333445,1961,267,60,47.69457626,781,215,263,688,1970-2000,NA
Corbold_Cr,13,8.100000381,29.20000076,688,29.29999924,1.600000024,27.70000076,4.900000095,22.89999962,21.29999924,4.699999809,2762,506,52,60.40000153,1228,224,225,948,2041-2060,26
Corbold_Cr,14.39999962,8.100000381,27.89999962,735.9000244,32.20000076,3.099999905,29.10000038,6.5,24.10000038,23.5,5.800000191,2746,490,46,61,1217,201,201,940,2041-2060,85
Corbold_Cr,9.279166222,7.824999809,31.55241966,611.4158936,23.5,-1.299999952,24.79999924,2.5,16.71666718,16.71666718,1.866666675,2616,431,71,55.67951584,1150,251,251,952,1970-2000,NA
Henderson_L,12.80000019,8.800000191,37.90000153,520.4000244,26.29999924,3.200000048,23.10000038,6.5,19.5,19.29999924,6.599999905,2915,534,38,67.69999695,1359,177,179,1133,2041-2060,26
Henderson_L,13.89999962,8.800000191,36.70000076,545.4000244,28.5,4.5,24,7.900000095,21.20000076,21,7.599999905,2877,503,32,66.90000153,1323,158,176,1109,2041-2060,85
Henderson_L,9.266666412,8.433333397,39.96840286,473.8351135,21.60000038,0.5,21.10000038,4.266666412,15.30000019,15.30000019,3.783333302,2763,443,49,61.73345566,1244,205,205,1114,1970-2000,NA
Hetta_L,10.30000019,6.099999905,30.70000076,505.6000061,21.29999924,1.5,19.79999924,7.300000191,15.39999962,16.70000076,4.699999809,3208,531,127,43.20000076,1263,452,647,847,2041-2060,26
Hetta_L,11.39999962,6.099999905,30.89999962,510.2999878,22.70000076,3.099999905,19.60000038,8.199999809,16.39999962,18,5.900000095,3320,563,123,44.5,1317,457,653,859,2041-2060,85
Hetta_L,7.0625,6.158333302,32.41228104,481.2914734,17.70000076,-1.299999952,19,4.583333492,11.3166666,13.16666698,1.75,2950,434,135,35.26944733,1083,455,601,821,1970-2000,NA
Kijik,5.099999905,9.699999809,28.5,886.7999878,23.60000038,-10.30000019,33.90000153,16.60000038,-1.200000048,16.60000038,-5,550,93,21,48.90000153,234,76,202,86,2041-2060,26
Kijik,6.900000095,9.300000191,29.60000038,837.9000244,25.10000038,-6.300000191,31.39999962,18.10000038,0.699999988,18.20000076,-2,580,101,24,50.09999847,251,82,215,94,2041-2060,85
Kijik,0.429166645,10.54166698,28.96062279,964.1987915,19.39999962,-17,36.40000153,11.26666641,-5.549999714,12.30000019,-11.1833334,470,79,17,50.33092499,202,63,171,72,1970-2000,NA
King_Salmon_L_Taku,5.300000191,8.199999809,24.70000076,883.5,22.29999924,-10.69999981,33,6.699999809,4.099999905,16.29999924,-5.599999905,1126,170,47,36.09999847,415,177,255,279,2041-2060,26
King_Salmon_L_Taku,6.800000191,8.100000381,25,874.2999878,24.5,-7.699999809,32.20000076,7.699999809,5.099999905,18.10000038,-3.700000048,1162,178,52,36.40000153,433,187,258,284,2041-2060,85
