Site,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,period,ssp
Tintina_Cr,9.699999809,8.699999809,26.70000076,871.5999756,27.70000076,-4.900000095,32.59999847,10.39999962,7.699999809,20.89999962,-1,1237,220,46,50.59999847,509,163,213,352,2041-2060,85
Tintina_Cr,4.608333111,8.850000381,28.64077568,807.2873535,20.70000076,-10.19999981,30.90000153,-0.249999925,8.933333397,14.36666679,-5.683333397,1090,172,41,47.24869919,427,140,185,343,1970-2000,NA
Tsimtack_L,11.19999981,6.900000095,30.39999962,568.0999756,23.70000076,1,22.70000076,7.599999905,18.5,18.20000076,4.5,4416,704,126,51.70000076,1879,459,459,1321,2041-2060,26
Tsimtack_L,12.30000019,6.900000095,30,582.7999878,25.5,2.599999905,22.89999962,8.5,20.20000076,19.70000076,5.699999809,4544,756,113,53.09999847,1946,435,435,1320,2041-2060,85
Tsimtack_L,7.795833588,6.841666698,32.12049866,527.6425171,19.60000038,-1.700000048,21.30000114,4.733333111,14.36666679,14.36666679,1.649999976,4125,586,136,45.74914932,1647,472,472,1316,1970-2000,NA
Tuya_R,6.199999809,11,28.29999924,1037.5,26.60000038,-12.5,39.09999847,13.60000038,1.799999952,18.60000038,-7.300000191,396,53,7,42.09999847,140,40,118,99,2041-2060,26
Tuya_R,7.599999905,11,28.29999924,1033.699951,28.89999962,-9.800000191,38.70000076,14.89999962,2.700000048,20.39999962,-5.5,409,54,8,41.5,145,41,120,101,2041-2060,85
Tuya_R,2.4375,11.49166679,30.00435257,1019.605835,22.5,-15.80000019,38.29999924,13.13333321,-2.350000143,14.35000038,-10.76666641,353,45,7,40.93017578,123,38,103,95,1970-2000,NA
Vernon_L,11.39999962,8.399999619,36.90000153,541.2000122,25.29999924,2.400000095,22.89999962,8,18.70000076,18.20000076,5.199999809,3403,661,61,68.09999847,1627,268,292,1206,2041-2060,26
Vernon_L,12.60000038,8.5,34.70000076,565.5999756,27.5,3.099999905,24.39999962,8.899999619,20.39999962,19.89999962,6.300000191,3403,618,51,67,1606,242,286,1206,2041-2060,85
Vernon_L,8.016666412,8.233333588,38.6541481,489.6071472,20.89999962,-0.400000006,21.29999924,2.966666698,14.14999962,14.3166666,2.516666651,3207,553,74,61.1384697,1471,303,315,1202,1970-2000,NA
Verrett_R,8,8.100000381,26.39999962,830.0999756,25,-5.699999809,30.70000076,8.899999619,11.89999962,18.39999962,-2.299999952,1715,289,84,43.79999924,673,258,287,478,2041-2060,26
Verrett_R,9.300000191,8.100000381,26.60000038,845.2000122,26.89999962,-3.5,30.39999962,9.800000191,20.29999924,20.29999924,-0.899999976,1773,305,86,44.09999847,700,271,293,483,2041-2060,85
Verrett_R,4.387499809,8.224999428,28.85964775,779.5835571,19.89999962,-8.600000381,28.5,-0.733333349,12.14999962,13.78333282,-5.433333397,1573,241,68,40.7600441,584,227,256,472,1970-2000,NA
Wasko_Cr,9.399999619,11.30000019,31.89999962,798.5,29.10000038,-6.199999809,35.29999924,4.900000095,4.199999809,19.29999924,-0.300000012,806,91,42,25.5,247,129,221,196,2041-2060,26
Wasko_Cr,10.80000019,11.30000019,30.79999924,842.9000244,32.40000153,-4.199999809,36.59999847,5.800000191,4.800000191,21.60000038,1,803,91,41,27.10000038,259,129,199,203,2041-2060,85
Wasko_Cr,5.550000191,11.36666679,34.86707687,754.0466309,23,-9.600000381,32.59999847,14.88333321,1.350000024,14.88333321,-3.666666746,756,80,38,23.92949486,224,121,224,188,1970-2000,NA
Harrison_R,13.69999981,8.600000381,30.39999962,666.7000122,30.39999962,2.200000048,28.20000076,5.900000095,23.79999924,21.89999962,5.800000191,1806,314,43,54.29999924,771,171,171,611,2041-2060,26
Harrison_R,15.19999981,8.699999809,29.20000076,716.5,33.40000153,3.700000048,29.70000076,7.400000095,26.39999962,24.20000076,6.900000095,1792,308,39,55.5,767,160,160,604,2041-2060,85
Harrison_R,9.891666412,8.25,33.13253021,588.8657837,24.10000038,-0.800000012,24.89999962,3.283333302,17.10000038,17.10000038,2.816666603,1716,267,59,48.53168106,717,202,202,607,1970-2000,NA
